,precision,recall,f1-score,support
guess_passwd.,0.9928,0.9891,0.991,321018.0
smurf.,1.0,0.0,0.0,10.0
satan.,1.0,0.0,0.0,3.0
buffer_overflow.,1.0,0.0,0.0,1.0
warezmaster.,0.9962,0.9984,0.9973,353766.0
ipsweep.,0.9998,0.9997,0.9998,926603.0
portsweep.,1.0,0.0,0.0,17.0
nmap.,1.0,0.0,0.0,87.0
ftp_write.,0.0,0.0,0.0,323.0
neptune.,0.4387,0.8845,0.5865,3436.0
perl.,0.8752,0.7218,0.7911,4119.0
pod.,1.0,0.0,0.0,7.0
warezclient.,1.0,0.0,0.0,3.0
loadmodule.,0.9124,0.9739,0.9421,727.0
phf.,1.0,0.0,0.0,4.0
multihop.,0.9581,0.8156,0.8811,5244.0
teardrop.,1.0,0.0,0.0,1.0
imap.,1.0,0.0,0.0,764.0
spy.,1.0,0.0,0.0,2.0
rootkit.,1.0,0.0,0.0,7.0
land.,0.0,0.0,0.0,337.0
normal.,1.0,0.0,0.0,1.0
back.,1.0,0.0,0.0,3.0
accuracy,0.9948,0.9948,0.9948,0.9948
macro avg,0.8771,0.2775,0.2691,1616483.0
weighted avg,0.9955,0.9948,0.9947,1616483.0
