class,precision,recall,f1-score,support
loadmodule.,0.9969,0.7358,0.8467,321018
teardrop.,0,0,0,10
nmap.,1,0,0,3
buffer_overflow.,0,0,0,1
ipsweep.,0.9985,0.9775,0.9879,353766
pod.,0.9999,0.9992,0.9995,926603
multihop.,1,0,0,17
guess_passwd.,0.0073,0.3678,0.0142,87
back.,0.0322,0.9009,0.0622,323
spy.,0.1354,0.92,0.2361,3436
warezmaster.,0.1817,0.9094,0.3029,4119
normal.,1,0,0,7
ftp_write.,0,0,0,3
satan.,0.0669,0.9849,0.1253,727
phf.,1,0,0,4
perl.,0.9464,0.8249,0.8815,5244
smurf.,1,0,0,1
neptune.,0.0341,0.0955,0.0502,764
warezclient.,1,0,0,2
rootkit.,0.0006,0.7143,0.0013,7
land.,0.0053,0.3798,0.0105,337
portsweep.,1,0,0,1
imap.,0,0,0,3
accuracy,0.9405,0.9405,0.9405,0.9405
macro avg,0.4959,0.383,0.1965,1616483
weighted avg,0.9936,0.9405,0.9615,1616483
