epochs,Validation accuracy,Validation Loss,Train Loss
1,0.039557795971632004,2296.18798828125,847.8947143554688
2,0.2580808103084564,2765.017578125,918.0407104492188
3,0.8786267638206482,2448.19482421875,1025.5338134765625
4,0.9205796122550964,1759.631103515625,571.9166870117188
5,0.9568115472793579,2161.800048828125,805.650390625
6,0.9624975919723511,1699.4554443359375,771.1675415039062
7,0.9658918976783752,1533.9385986328125,805.5379028320312
8,0.968102753162384,1935.811767578125,805.33837890625
9,0.9699586033821106,1197.6500244140625,719.5543823242188
10,0.9709546566009521,1264.622802734375,660.5756225585938
11,0.970322847366333,1439.6583251953125,742.4342651367188
12,0.9705572128295898,1535.1583251953125,643.41259765625
13,0.9699360728263855,1279.2957763671875,624.84130859375
14,0.972096860408783,1821.1424560546875,599.939697265625
15,0.9713993668556213,1720.1861572265625,542.3807983398438
16,0.9732731580734253,1575.76611328125,565.1740112304688
17,0.9723384380340576,1541.565185546875,436.7039794921875
18,0.973965048789978,1461.4178466796875,513.656982421875
19,0.9735976457595825,1346.5836181640625,461.92340087890625
20,0.9726175665855408,736.21142578125,422.0345458984375
